family                                          tot  sat unsat  unk   to  UNS
20161105-Sturm-MBO                               50    0    26    0   24    0
20161105-Sturm-MGC                                9    0     0    0    9    0
20170501-Heizmann-UltimateInvariantSynthesis     50    0     0    0   50    0
20180501-Economics-Mulligan                      50    0     0    3   47    0
2019-ezsmt                                       50    0     0    1   49    0
20200911-Pine                                    50    0     0    1   49    0
20211101-Geogebra                                50    2     0    8   40    0
20220314-Uncu                                    50    9    12    3   26    0
20240407-pPDA-Chiari-Pontiggia-Winkler           20    0     0    0   20    0
LassoRanker                                      50    0     0    0   50    0
UltimateAutomizer                                50    0     0    0   50    0
hong                                             20    0     2    0   18    0
hycomp                                           50    0    32    0   18    0
kissing                                          45    4     0    0   41    0
meti-tarski                                      70   28    18    4   20    0
zankl                                            50    4     6    1   39    0
TOTAL                                           714   47    96   21  550    0
